List Price,Sale Price,Brand,category_level1,ecomm_id
34.64,34.64,Business Essentials,Office,520
81.23,81.23,Business Essentials,Office,521
38.69,38.69,Business Essentials,Office,522
35.78,35.78,Business Essentials,Office,523
50.15,50.15,Business Essentials,Office,525
31.69,31.69,Business Essentials,Office,526
40.91,40.91,Business Essentials,Office,527
36.89,36.89,Business Essentials,Office,529
18.13,18.13,Business Essentials,Office,530
44.94,44.94,Business Essentials,Office,531
36.36,36.36,Business Essentials,Office,533
41.23,41.23,Business Essentials,Office,535
40.03,40.03,Business Essentials,Office,537
22.67,22.67,Business Essentials,Office,539
27.66,27.66,Business Essentials,Office,540
29.16,29.16,Business Essentials,Office,541
42.12,42.12,Business Essentials,Office,542
56.38,56.38,Business Essentials,Office,543
29.59,29.59,Business Essentials,Office,544
41.95,41.95,Business Essentials,Office,545
25.57,25.57,Business Essentials,Office,546
27.85,27.85,Business Essentials,Office,548
51.61,51.61,Business Essentials,Office,549
71.12,71.12,Business Essentials,Office,550
48.29,48.29,Business Essentials,Office,552
53.57,53.57,Business Essentials,Office,554
34.81,34.81,Business Essentials,Office,555
26.84,26.84,Business Essentials,Office,556
26.97,19.84,Unconditional Love,Pets,559
26.97,19.84,Unconditional Love,Pets,560
26.97,19.84,Unconditional Love,Pets,561
26.97,19.84,Unconditional Love,Pets,562
26.97,19.84,Unconditional Love,Pets,563
26.97,19.84,Unconditional Love,Pets,564
26.97,19.84,Unconditional Love,Pets,565
10.95,8.95,Country Brook Design,Pets,566
10.95,8.95,Country Brook Design,Pets,567
10.95,8.95,Country Brook Design,Pets,568
10.95,8.95,Country Brook Design,Pets,569
10.95,8.95,Country Brook Design,Pets,570
10.95,8.95,Country Brook Design,Pets,571
10.95,8.95,Country Brook Design,Pets,572
10.95,8.95,Country Brook Design,Pets,573
10.95,8.95,Country Brook Design,Pets,574
10.95,8.95,Country Brook Design,Pets,575
8.95,8.95,Country Brook Design,Pets,576
10.95,8.95,Country Brook Design,Pets,578
10.95,8.95,Country Brook Design,Pets,579
10.95,8.95,Country Brook Design,Pets,580
8.95,8.95,Country Brook Design,Pets,581
10.95,8.95,Country Brook Design,Pets,582
